NO.	 Vo(V) 	  I(uA)
437	   37.2	  208.7
438	   37.4	  209.0
439	   37.6	  208.5
440	   37.8	  209.2
441	   38.0	  209.4
442	   38.2	  209.2
443	   38.4	  210.0
444	   38.6	  210.6
445	   38.8	  210.8
446	   39.0	  211.3
447	   39.2	  211.8
448	   39.4	  211.4
449	   39.6	  212.0
450	   39.8	  212.6
451	   40.0	  212.2
452	   40.2	  213.2
453	   40.4	  213.4
454	   40.6	  213.0
455	   40.8	  213.2
456	   41.0	  214.3
457	   41.2	  214.1
458	   41.4	  214.8
459	   41.6	  215.0
460	   41.8	  214.8
461	   42.0	  215.2
462	   42.2	  215.8
463	   42.4	  215.8
464	   42.6	  215.8
465	   42.8	  216.8
466	   43.0	  216.5
467	   43.2	  217.3
468	   43.4	  217.9
469	   43.6	  217.7
470	   43.8	  217.6
471	   44.0	  218.3
472	   44.2	  218.5
473	   44.4	  218.4
474	   44.6	  219.2
475	   44.8	  219.2
476	   45.0	  219.2
477	   45.2	  219.5
478	   45.4	  219.8
479	   45.6	  219.8
480	   45.8	  220.6
481	   46.0	  220.5
482	   46.2	  220.6
483	   46.4	  221.1
484	   46.6	  221.0
485	   46.8	  221.1
486	   47.0	  221.9
487	   47.2	  222.1
488	   47.4	  221.9
489	   47.6	  222.5
490	   47.8	  222.6
491	   48.0	  222.4
492	   48.2	  223.0
493	   48.4	  223.2
494	   48.6	  223.4
495	   48.8	  223.6
496	   49.0	  223.7
497	   49.2	  223.6
498	   49.4	  223.8
499	   49.6	  224.1
500	   49.8	  223.9
